367.4
373.00
250.00
365.02
362.81
365.23
365.06
458.9
H40.033
H52.4
E11.9
366.19
374.87
I10
H25.813
H40.013
H10.45
H35.40
H04.123
365.01
E11.331
H34.811
362.02
361.81
378.83
366.9
E11.359
H50.10
H26.9
H33.43
V43.1
371.20
362.04
366.16
377.49
362.53
377.00
H16.012
250.52
370.20
367.0
375.15
371.00
401.1
250.02
379.21
H25.13
367.1
365.11
372.14
368.00
367.20
H01.002
H01.005
E11.339
H52.03
E11.351
362.56
362.57
362.63
360.12
370.21
361.31
362.07
367.21
930.1
250.50
362.05
362.60
362.01
250.31
361.9
371.49
369.03
V43.0
366.10
374.84
216.1
372.31
H40.11X1
H53.2
H02.055
H40.11X4
H40.11X2
H04.203
H52.223
362.11
E11.3291
E11.3292
368.03
365.65
365.73
362.35
362.83
H40.32X3
E11.329
H52.13
379.24
365.71
H25.013
375.56
377.10
366.15
377.41
369.76
H47.012
H53.021
135
D86.9
H50.141
E11.321
H02.825
378.11
365.05
379.22
379.39
368.9
438.7
H35.033
E08.9
401.9
375.20
692.9
E11.319
H10.811
H01.001
H01.004
H43.811
373.12
448.1
959.9
362.06
373.01
372.72
362.89
H35.412
H31.092
E11.311
G51.0
E13.319
365.12
H40.1231
H40.9
366.53
366.50
365.04
Z96.1
H40.053
377.21
H35.363
372.00
372.30
369.13
369.9
369.12
H54.0
H47.292
H10.9
E10.9
E10.65
368.59
362.34
E08.329
366.20
434.91
374.89
362.29
363.15
370.40
366.02
363.30
E11.3293
H25.043
H35.373
H25.811
372.75
378.41
378.45
367.31
368.46
368.47
369.3
371.52
371.42
371.57
H18.51
H18.52
H16.122
362.16
362.52
362.51
H35.32
H40.052
369.17
365.00
H54.2
H52.11
H21.553
H53.52
H25.11
370.23
372.10
366.09
796.2
362.50
H20.13
368.45
362.03
362.33
362.74
379.99
R51
E13.339
250.01
372.41
362.82
H35.89
H35.371
H01.021
H53.19
366.14
250.92
371.60
360.21
H18.613
H40.11X3
H40.10X4
H51.11
370.33
378.15
H50.15
743.30
368.02
Z98.42
272.4
351.9
368.13
361.2
362.42
H35.81
365.74
365.72
V42.5
H18.602
Z94.7
H18.231
366.00
H11.002
366.04
V58.49
378.85
H53.023
H50.34
372.51
077.8
362.54
784.0
366.13
374.10
E10.329
H00.11
H35.411
364.04
918.1
E08.311
370.9
H16.9
H25.812
351.0
790.22
H31.001
378.10
H33.322
M31.6
H43.391
H47.011
H00.15
224.6
H33.8
H26.102
H53.012
H26.491
H33.321
E11.3413
E08.3313
366.41
405.19
H35.31
Z79.84
379.23
H59.022
H30.22
E08.359
H43.392
H33.42
H55.00
373.9
250.90
250.82
366.44
362.77
369.24
374.00
374.30
H43.813
H43.822
E13.351
H35.372
H02.413
372.9
379.00
369.25
H16.293
H40.023
H02.9
H57.053
E10.351
H25.041
R52
H25.12
L25.9
H10.503
H53.9
374.05
361.07
363.32
360.42
364.42
364.73
366.17
360.41
365.10
H40.1224
H40.1222
H54.40
H44.22
H52.12
362.36
367.22
H44.23
H40.10X1
H35.413
373.2
H35.343
H25.89
369.62
871.3
379.91
377.31
H53.461
H53.462
H40.1132
369.22
367.81
375.22
369.63
378.84
364.3
379.12
361.32
377.9
379.31
H27.01
H34.211
374.20
H02.205
H02.202
E13.331
E08.331
E11.3313
E11.3513
H47.291
H53.482
H35.82
H11.153
H50.52
227.3
D35.2
H25.011
H01.024
368.30
H02.831
H34.831
042
Z21
368.01
369.14
H44.21
H05.20
369.06
368.40
366.8
H02.725
H02.724
365.62
366.11
365.9
H47.013
H18.792
H11.32
S05.02XA
S05.02XD
H43.11
H25.012
H53.47
H53.433
377.24
377.01
E13.9
H53.40
H02.402
H43.812
H47.323
R03.0
378.43
378.01
361.00
368.12
364.71
H52.213
362.84
H52.203
743.56
368.8
E23.2
054.43
930.0
054.42
363.34
365.20
366.31
377.12
L93.0
Z79.899
H55.02
366.52
363.61
368.41
H35.61
H57.11
365.70
H40.1234
364.21
224.3
361.06
H33.323
H47.233
367.51
362.21
365.43
950.0
698.9
372.43
346.00
362.75
H02.401
373.8
H35.22
372.02
378.24
371.9
379.90
G52.9
E11.8
H33.41
371.41
378.23
371.05
284.2
H44.521
H21.01
H16.143
H54.11
375.02
H52.222
368.15
H40.063
V45.61
H25.9
364.10
363.20
224.5
377.22
H47.391
H02.834
H35.50
H57.12
H40.1134
369.01
369.16
V12.54
379.01
371.71
H52.31
377.14
369.60
364.00
369.67
H11.442
H17.9
E11.349
E11.341
362.76
H43.12
H43.823
H53.002
H40.031
E11.39
H43.13
H35.342
369.04
E13.359
H52.221
378.50
H40.1131
366.03
H02.822
H31.012
365.22
941.02
340
692.3
374.9
371.50
362.41
H26.493
H01.025
H54.8
343.9
G80.9
H47.091
743.31
368.43
376.9
E10.359
373.13
H34.832
H18.603
H52.01
H18.713
H34.9
H35.041
H20.043
B30.9
R58
371.56
H54.12
372.73
368.2
379.25
H17.89
379.29
379.46
H33.21
H35.63
H33.052
H40.003
435.9
362.20
V80.1
401.0
372.40
361.11
361.12
368.10
M32.9
370.07
996.51
D31.22
H47.20
379.27
H40.012
V58.69
V58.83
V72.0
D31.02
H53.483
363.04
H40.1133
E10.349
H34.833
E09.329
250.42
249.81
H40.1123
H44.511
360.11
H26.492
I69.30
H10.13
E08.321
H44.513
B00.52
373.6
361.10
370.62
H33.103
374.51
H15.102
G70.00
379.02
371.03
I63.9
378.05
940.3
378.00
361.03
H02.201
H16.141
95.34
H02.054
437.9
270.2
333.81
365.63
370.35
Z90.01
H18.423
H52.202
H52.02
V08
364.77
H04.563
H40.1232
918.9
379.41
704.2
921.2
H53.031
H40.011
379.32
231.2
H16.223
H35.62
369.72
077.99
H40.2212
H43.821
H11.003
642.00
377.30
701.9
L91.9
E11.36
H20.9
H40.043
H47.333
H30.143
378.31
361.89
352.9
951.0
362.32
378.42
378.20
250.03
373.32
H25.042
373.11
374.31
H47.093
369.75
H54.52
378.54
364.02
H40.2233
H33.312
B19.20
366.30
710.0
V67.51
368.11
F63.3
H33.102
378.9
250.53
H47.393
H35.30
459.81
362.14
361.05
D31.31
H35.361
E13.321
H43.22
H01.022
H40.1334
E03.9
363.50
372.42
363.05
363.71
H53.451
376.30
H46.9
H00.031
T78.49XS
H31.002
H02.052
364.9
H20.041
H35.52
369.4
369.07
H40.51X3
H00.021
H00.022
H00.024
H00.025
H33.101
370.34
E10.331
H51.23
H05.243
272.0
E11.69
365.52
H02.135
H02.132
H40.1432
H40.1431
H15.112
H15.012
H15.013
282.5
H35.353
R29.810
368.44
378.71
250.51
053.9
H40.021
B20
H10.32
H40.2231
363.33
743.57
H47.099
327.23
459.0
G46.4
692.72
H53.10
372.20
369.68
371.30
378.21
365.31
369.20
H11.31
R23.8
366.01
784.51
244.9
H10.023
H04.413
E08.341
250.60
365.89
H20.042
361.30
374.33
G45.3
H11.001
374.34
377.39
E08.351
H02.231
H54.51
H53.481
H50.111
H54.62
E11.3553
053.20
H34.812
H35.23
714.0
376.33
H02.842
H02.845
H16.101
H16.403
363.13
346.02
370.52
250.70
H54.3
S00.12XA
H18.893
378.18
H15.101
H15.103
253.8
E23.7
G43.B1
E10.39
H44.512
D31.21
H40.213
H40.2234
E05.00
M35.01
H11.043
379.57
374.11
H02.835
362.31
995.20
Z51.81
369.18
333.2
092.9
079.53
H10.501
371.24
371.61
H16.103
278.00
12.14
H01.134
364.82
H21.82
H04.543
364.03
370.01
G43.109
371.70
E10.339
S05.01XA
S05.01XD
H18.831
371.89
649.40
370.60
759.6
H40.2211
H40.2222
H02.403
H31.22
H40.1112
H18.20
14.32
E13.329
362.18
360.19
H53.453
371.43
T15.12XA
H16.393
H31.321
364.75
362.64
H59.032
377.43
